time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-25 00:00:00+00:00,5.0,3.0,35,25
2025-03-26 00:00:00+00:00,6.0,2.0,28,20
2025-03-27 00:00:00+00:00,2.0,2.0,37,18
2025-03-28 00:00:00+00:00,11.0,3.0,19,8
2025-03-29 00:00:00+00:00,7.0,4.0,26,8
2025-03-30 00:00:00+00:00,8.0,4.0,33,9
2025-03-31 00:00:00+00:00,10.0,6.0,28,15
2025-04-01 00:00:00+00:00,12.0,5.0,131,24
2025-04-02 00:00:00+00:00,13.0,7.0,36,18
2025-04-03 00:00:00+00:00,7.0,5.0,48,17
2025-04-04 00:00:00+00:00,14.0,9.0,44,7
2025-04-05 00:00:00+00:00,7.0,5.0,21,8
2025-04-06 00:00:00+00:00,11.0,4.0,14,8
2025-04-07 00:00:00+00:00,,,47,23
